* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:39:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3550.000000	82.158	-154.4543
3600.000000	82.099	-154.0818
3650.000000	82.094	-153.8751
3700.000000	82.071	-153.5163
3750.000000	82.066	-153.2444
3820.000000	82.114	-152.6443
3870.000000	82.151	-152.1910
3950.000000	82.226	-151.9946
4000.000000	82.284	-151.8419
4060.000000	82.348	-152.1354
4120.000000	82.434	-152.7045
4180.000000	82.527	-153.6722
4250.000000	82.576	-154.9921
4310.000000	82.661	-156.5034
4370.000000	82.724	-158.1612
4440.000000	82.737	-160.1710
4500.000000	82.770	-162.2352
4550.000000	82.771	-164.4498
4620.000000	82.518	-167.5546
4680.000000	82.224	-170.0102
4750.000000	81.790	-172.1467
4820.000000	81.279	-173.5841
4870.000000	80.883	-174.3892
4940.000000	80.330	-174.6514
5000.000000	79.876	-174.3751
5080.000000	79.370	-173.3025
5150.000000	78.951	-171.7637
5220.000000	78.631	-170.2465
5300.000000	78.363	-168.2178
5380.000000	78.158	-166.0178
5450.000000	78.009	-164.1709
5520.000000	77.934	-162.5798
5600.000000	77.846	-160.6343
5700.000000	77.739	-158.6627
5800.000000	77.773	-156.8797
5900.000000	77.746	-155.8638
6000.000000	77.431	-156.9801
6080.000000	76.590	-152.3177
6150.000000	76.760	-146.9282
6220.000000	77.131	-144.4685
6300.000000	77.376	-143.2681
6400.000000	77.592	-141.7377
6500.000000	77.769	-140.2672
6600.000000	77.970	-139.0776
6700.000000	78.222	-137.8533
6800.000000	78.478	-136.8246
6900.000000	78.821	-136.3528
7000.000000	79.201	-135.8438
7100.000000	79.576	-135.9542
7200.000000	80.028	-136.4486
7300.000000	80.510	-137.5388
7400.000000	81.089	-139.1639
7500.000000	81.634	-141.6666
7620.000000	82.575	-145.7748
7750.000000	83.485	-151.4919
7880.000000	84.225	-158.6506
8000.000000	84.653	-165.8677
8120.000000	84.477	-172.9279
8250.000000	84.045	179.9363
8380.000000	83.369	174.0110
8500.000000	82.685	169.7296
8620.000000	82.114	166.4392
8750.000000	81.479	163.5094
8850.000000	81.149	161.7137
9000.000000	80.774	159.0834
9120.000000	80.569	156.1299
9250.000000	80.373	152.4242
9380.000000	80.182	147.8883
9500.000000	79.806	142.9359
9620.000000	79.294	137.7874
9750.000000	78.488	132.8549
9880.000000	77.538	128.9549
10000.000000	76.685	127.3198
10150.000000	75.588	126.8213
10300.000000	74.735	127.1673
10440.000000	74.076	127.3222
10600.000000	73.202	128.0382
10750.000000	72.418	129.2702
10900.000000	71.635	130.5377
11060.000000	70.929	133.5772
11200.000000	70.261	136.5492
11380.000000	69.730	141.4010
11500.000000	69.471	144.4844
11720.000000	69.117	151.5695
11800.000000	68.817	154.1786
12060.000000	68.910	161.9442
12200.000000	69.008	166.4371
12410.000000	69.360	172.4822
12500.000000	69.636	175.4343
12650.000000	70.143	178.5756
12800.000000	70.774	-177.7418
13150.000000	72.854	-172.5192
13200.000000	73.066	-171.8942
13400.000000	74.432	-172.8912
13600.000000	75.640	-174.4609
13800.000000	76.090	179.6172
14000.000000	75.838	173.3331
14300.000000	75.309	164.8342
14500.000000	74.669	162.2112
14750.000000	74.667	159.7059
15000.000000	74.658	158.9478
15250.000000	74.971	156.8062
15500.000000	75.526	156.0505
15750.000000	73.542	149.4646
16000.000000	71.268	137.6190
16250.000000	66.699	128.8913
16500.000000	60.933	122.9610
16750.000000	58.018	125.1821
17000.000000	55.786	139.5627
17250.000000	56.118	149.3748
17500.000000	54.792	163.2921
17750.000000	56.469	178.5616
18000.000000	57.311	-170.1769
18250.000000	58.169	-164.2502
18500.000000	59.225	-166.8622
18750.000000	61.545	-166.9601
19000.000000	61.863	-174.0247
19250.000000	62.243	-177.3430
19500.000000	62.153	172.6021
19750.000000	60.608	166.2793
20000.000000	58.575	175.5648
