* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14.10.2024 1:07:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R окт 14
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3870.000000 82.957 -166.2334
3950.000000 83.006 -166.1039
4000.000000 83.037 -166.2090
4060.000000 83.031 -166.3657
4120.000000 83.004 -166.6655
4180.000000 82.957 -167.0424
4250.000000 82.830 -167.2154
4310.000000 82.720 -167.0489
4370.000000 82.610 -166.4569
4440.000000 82.531 -165.4433
4500.000000 82.546 -164.6487
4550.000000 82.595 -164.0106
4620.000000 82.670 -163.8076
4680.000000 82.673 -164.1336
4750.000000 82.625 -164.4008
4820.000000 82.528 -164.7651
4870.000000 82.439 -164.9302
4940.000000 82.287 -165.0157
5000.000000 82.158 -165.0710
5080.000000 81.955 -164.7448
5150.000000 81.795 -164.2544
5220.000000 81.638 -163.7455
5300.000000 81.498 -162.8898
5380.000000 81.376 -161.9503
5450.000000 81.274 -161.0832
5520.000000 81.186 -160.2816
5600.000000 81.154 -159.2908
5700.000000 81.241 -157.8891
5800.000000 81.319 -156.3655
5900.000000 81.455 -154.6897
6000.000000 81.664 -152.4764
6080.000000 82.152 -151.5889
6150.000000 82.254 -152.9630
6220.000000 82.234 -152.6362
6300.000000 82.304 -151.6266
6400.000000 82.484 -150.3010
6500.000000 82.713 -149.1066
6600.000000 83.007 -148.1311
6700.000000 83.450 -147.3115
6800.000000 83.883 -146.4483
6900.000000 84.329 -145.9539
7000.000000 84.810 -145.7042
7100.000000 85.294 -145.5579
7200.000000 85.776 -145.7900
7300.000000 86.268 -146.1870
7400.000000 86.778 -146.8456
7500.000000 87.284 -147.7208
7620.000000 87.899 -149.1849
7750.000000 88.578 -151.5352
7880.000000 88.670 -154.8238
8000.000000 88.570 -158.7450
8120.000000 88.343 -163.1764
8250.000000 87.900 -168.2151
8380.000000 87.286 -172.8725
8500.000000 86.570 -176.3452
8620.000000 85.831 -178.7627
8750.000000 85.065 179.7186
8850.000000 84.531 179.1787
9000.000000 83.918 178.7452
9120.000000 83.585 178.2282
9250.000000 83.326 176.8227
9380.000000 83.096 174.3962
9500.000000 82.870 171.2176
9620.000000 82.566 167.2418
9750.000000 82.061 162.1510
9880.000000 81.408 157.0949
10000.000000 80.665 152.5755
10150.000000 79.851 147.4863
10300.000000 78.888 143.2455
10440.000000 77.964 140.1831
10600.000000 76.837 137.3498
10750.000000 75.719 135.6482
10900.000000 74.608 134.4231
11060.000000 73.657 134.2230
11200.000000 73.173 134.4730
11380.000000 72.506 135.7734
11500.000000 72.109 137.4410
11720.000000 71.553 140.8929
11800.000000 71.399 142.2045
12060.000000 70.951 147.1983
12200.000000 70.777 150.0815
12410.000000 70.860 154.5783
12500.000000 70.947 156.5096
12650.000000 71.301 160.6186
12800.000000 71.652 163.5309
13150.000000 72.639 170.8853
13200.000000 72.781 171.9666
13400.000000 73.246 175.2291
13600.000000 73.513 -179.3029
13800.000000 74.008 -171.5903
14000.000000 75.076 -163.1465
14300.000000 77.364 -153.0680
14500.000000 79.324 -148.6186
14750.000000 81.937 -145.7151
15000.000000 85.009 -148.0438
15250.000000 88.040 -160.2748
15500.000000 89.059 179.5564
15750.000000 86.040 165.3074
16000.000000 83.073 155.3597
16250.000000 82.008 146.1755
16500.000000 80.852 138.5919
16750.000000 79.569 132.9633
17000.000000 78.019 126.7702
17250.000000 76.183 123.4939
17500.000000 74.014 122.9882
17750.000000 71.909 126.3975
18000.000000 69.950 136.8140
18250.000000 69.233 149.8431
18500.000000 69.314 158.2461
18750.000000 69.912 166.2436
19000.000000 70.692 169.2017
19250.000000 71.114 164.2343
19500.000000 71.234 161.1759
19750.000000 70.990 159.3437
20000.000000 70.112 153.8038
