* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:35:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1250.000000	77.331	-139.8900
1265.000000	77.428	-139.7844
1280.000000	77.491	-139.3901
1315.000000	77.705	-138.8047
1320.000000	77.702	-138.8580
1340.000000	77.788	-138.4296
1360.000000	77.884	-138.1642
1380.000000	77.976	-137.8436
1400.000000	78.044	-137.4757
1430.000000	78.198	-137.1121
1450.000000	78.300	-136.4449
1475.000000	78.390	-136.3640
1500.000000	78.514	-135.9121
1525.000000	78.625	-135.7612
1550.000000	78.749	-135.2420
1575.000000	78.849	-135.2962
1600.000000	78.951	-135.0504
1625.000000	79.077	-134.8156
1650.000000	79.183	-134.6742
1675.000000	79.273	-134.4314
1700.000000	79.365	-134.2250
1725.000000	79.454	-134.0103
1750.000000	79.598	-133.6107
1775.000000	79.706	-133.2819
1800.000000	79.801	-133.1975
1825.000000	79.933	-132.8304
1850.000000	80.039	-132.6982
1875.000000	80.158	-132.4862
1900.000000	80.317	-132.3397
1925.000000	80.448	-132.4377
1950.000000	80.611	-132.3374
1975.000000	80.742	-132.3003
2000.000000	80.918	-132.4491
2030.000000	81.086	-132.6595
2060.000000	81.239	-133.0824
2090.000000	81.395	-133.5367
2120.000000	81.564	-133.9745
2140.000000	81.644	-134.3206
2180.000000	81.835	-135.0576
2200.000000	81.919	-135.3928
2240.000000	82.076	-136.3929
2270.000000	82.193	-137.1510
2300.000000	82.250	-137.9122
2330.000000	82.351	-138.7168
2360.000000	82.402	-139.4481
2400.000000	82.475	-140.4125
2430.000000	82.531	-141.0710
2470.000000	82.539	-142.0806
2500.000000	82.564	-142.7562
2540.000000	82.557	-143.4834
2580.000000	82.566	-144.2402
2620.000000	82.549	-144.9993
2650.000000	82.520	-145.3889
2690.000000	82.489	-145.9689
2720.000000	82.425	-146.1767
2760.000000	82.387	-146.3420
2800.000000	82.350	-146.5194
2850.000000	82.308	-146.3729
2900.000000	82.316	-145.8939
2950.000000	82.307	-145.8741
3000.000000	82.395	-145.7584
3040.000000	82.432	-145.6031
3070.000000	82.469	-145.6917
3110.000000	82.505	-145.7728
3150.000000	82.589	-145.8640
3200.000000	82.623	-146.3289
3250.000000	82.659	-146.4949
3300.000000	82.684	-146.8518
3350.000000	82.679	-146.8923
3400.000000	82.699	-147.0049
3450.000000	82.737	-147.1882
3500.000000	82.755	-147.2543
3550.000000	82.798	-147.4852
3600.000000	82.882	-147.8638
3650.000000	82.964	-148.4071
3700.000000	83.046	-149.0551
3750.000000	83.173	-149.8414
3820.000000	83.251	-151.3297
